Part,Value,Device,Package,Description
J1,Qwiic Right Angle,I2C_STANDARDQWIIC,JST04_1MM_RA,SparkFun I2C Standard Pinout Header
J2,MICRO-SD-PUSH-PUSH-EXT-PIN,MICRO-SD-PUSH-PUSH-EXT-PIN,MICROSD-EXTERNALPIN,microSD Socket for Transflash
JP1,,PINHD-1X4,1X04,PIN HEADER
JP2,,PINHD-1X4,1X04,PIN HEADER
JP3,,PINHD-1X2,1X02,PIN HEADER
JP4,,PINHD-1X4,1X04,PIN HEADER
JP5,,PINHD-1X8,1X08,PIN HEADER
JP6,,PINHD-1X3,1X03,PIN HEADER
JP7,,PINHD-1X3,1X03,PIN HEADER
JP8,,PINHD-1X3,1X03,PIN HEADER
JP9,,PINHD-1X3,1X03,PIN HEADER
JP10,,PINHD-2X3,2X03,PIN HEADER
JP11,,PINHD-1X2,1X02,PIN HEADER
R1,10k,R-EU_0204/7,0204/7,"RESISTOR, European symbol"
R2,2k2,R-EU_0204/7,0204/7,"RESISTOR, European symbol"
R3,2k2,R-EU_0204/7,0204/7,"RESISTOR, European symbol"
R4,2k2,R-EU_0204/7,0204/7,"RESISTOR, European symbol"
R5,2k2,R-EU_0204/7,0204/7,"RESISTOR, European symbol"
R6,2k2,R-EU_0204/7,0204/7,"RESISTOR, European symbol"
R7,2k2,R-EU_0204/7,0204/7,"RESISTOR, European symbol"
R8,2k2,R-EU_0204/7,0204/7,"RESISTOR, European symbol"
S1,MOMENTARY-SWITCH-SPST-PTH-6.0MM,MOMENTARY-SWITCH-SPST-PTH-6.0MM,TACTILE_SWITCH_PTH_6.0MM,Momentary Switch (Pushbutton) - SPST
U$1,,RPI_PICO-SMD,RPI_PICO,
U1,RA-02_LORA,RA-02_LORA,MODULE_RA-02_LORA,Ra-02 LoRa RF M5Stack Platform Evaluation Expansion Board
X1,S4B-ZR,S4B-ZR,S4B-ZR,"ZH CONNECTOR 1.5 mm, 4 pin 1 row"
